,acid,anon_code
2047,Classes_Basic_Cat_ac,"class Cat:
    
    def __init__(self, name, age):
        
        self.name = name
        self.age = age
        
    def __str__(self):
        
        return ""name: "" + self.name + "", age: "" + str(age)
    
    def make_sound(self):
        
        return ""Meow""
    
c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
2051,Classes_Basic_Cat_ac,"class Cat:
    
    def __init__(self, name, age):
        
        self.name = name
        self.age = age
        
    def __str__(self):
        
        return ""name: "" + self.name + "", age: "" + str(self.age)
    
    def make_sound(self):
        
        return ""Meow""
    
c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
2532,Classes_Basic_Cat_ac,"class Cat:
    def __init__(self,name,age):
        self.name=name
        self.age=age
    def __str__(self):
        return f'name: {self.name}, age: {self.age}'
    def make_sound(self):
        return 'Meow'


c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
2556,Classes_Basic_Cat_ac,"class Cat:
    def __init__(self,name,age):
        self.name=name
        self.age=age
    def __str__(self)
        return f'name: {name}, age: {age}'
    def make_sound(self):
        return 'Meow'


c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
2557,Classes_Basic_Cat_ac,"class Cat:
    def __init__(self,name,age):
        self.name=name
        self.age=age
    def __str__(self):
        return f'name: {name}, age: {age}'
    def make_sound(self):
        return 'Meow'


c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
4710,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age):
       self.name = name
       self.age = age
       #self.make_sound = ""Meow""
   def __str__(self):
       return ""name: "" + self.name + "" age: "" + str(self.age)
   def make_sound():
       return str(""Meow"")
        
    
c = Cat(""Fluffy"", 3)
print(c)
print(c,make_sound())

"
4711,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age,make_sound):
       self.name = name
       self.age = age
       #self.make_sound = ""Meow""
   def __str__(self):
       return ""name: "" + self.name + "" age: "" + str(self.age)
   def make_sound():
       return str(""Meow"")
        
    
c = Cat(""Fluffy"", 3)
print(c)
print(c,make_sound())

"
4712,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age):
       self.name = name
       self.age = age
       #self.make_sound = ""Meow""
   def __str__(self):
       return ""name: "" + self.name + "" age: "" + str(self.age)
   def make_sound(self):
       return str(""Meow"")
        
    
c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
4713,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age,make_sound):
       self.name = name
       self.age = age
       #self.make_sound = ""Meow""
   def __str__(self):
       return ""name: "" + self.name + "" age: "" + str(self.age)
   def make_sound():
       return str(""Meow"")
        
    
c = Cat(""Fluffy"", 3, ""Meow"")
print(c)
print(c,make_sound())

"
4714,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age,make_sound):
       self.name = name
       self.age = age
       #self.make_sound = ""Meow""
   def __str__(self):
       return ""name: "" + self.name + "" age: "" + str(self.age)
   def make_sound(self):
       return str(""Meow"")
        
    
c = Cat(""Fluffy"", 3, ""Meow"")
print(c)
print(c,make_sound())

"
4715,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age):
       self.name = name
       self.age = age
       #self.make_sound = ""Meow""
   def __str__(self):
       return ""name: "" + self.name + "" age: "" + str(self.age)
   def make_sound(self):
       return str(""Meow"")
        
    
c = Cat(""Fluffy"", 3, ""Meow"")
print(c)
print(c,make_sound())

"
4716,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age):
       self.name = name
       self.age = age
       #self.make_sound = ""Meow""
   def __str__(self):
       return ""name: "" + self.name + "" age: "" + str(self.age)
   def make_sound(self):
       return str(""Meow"")
        
    
c = Cat(""Fluffy"", 3)
print(c)
print(c,make_sound())

"
4717,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age):
       self.name = name
       self.age = age
       #self.make_sound = ""Meow""
   def __str__(self):
       return ""name: "" + self.name + "", age: "" + str(self.age)
   def make_sound(self):
       return str(""Meow"")
        
    
c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
4719,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age):
       self.name = name
       self.age = age
   def __str__(self):
       return ""name: "" + self.name + "" age: "" + self.age
c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
4721,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age):
       self.name = name
       self.age = age
       self.make_sound = ""Meow""
   def __str__(self):
       return ""name: "" + self.name + "" age: "" + str(self.age)
   def __make_sound__():
       #return self.make_sound
       return str(""Meow"") 
    
c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
4722,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age):
       self.name = name
       self.age = age
       self.make_sound = ""Meow""
   def __str__(self):
       return ""name: "" + self.name + "" age: "" + str(self.age)
   def __make_sound__(self):
       return self.make_sound
    
c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
4725,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age):
       self.name = name
       self.age = age
       self.make_sound = ""Meow""
   def __str__(self):
       return ""name: "" + self.name + "" age: "" + str(self.age)
   def __make_sound__():
       return self.make_sound
    
c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
4727,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age):
       self.name = name
       self.age = age
   def __str__(self):
       return ""name: "" + self.name + "" age: "" + str(self.age)
c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
4728,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age):
       self.name = name
       self.age = age
       #self.make_sound = ""Meow""
   def __str__(self):
       return ""name: "" + self.name + "" age: "" + str(self.age)
   def __make_sound__():
       #return self.make_sound
       return str(""Meow"") 
    
c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
4731,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age):
       self.name = name
       self.age = age
   def __str__(self):
       return ""name: "" + name + "" age: "" + age
c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
4732,Classes_Basic_Cat_ac,"class Cat
   def __init__(self,name,age):
       self.name = name
       self.age = age
   def __str__(self)
       return ""name: "" + name + "" age: "" + age
c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
4733,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age):
       self.name = name
       self.age = age
   def __str__(self)
       return ""name: "" + name + "" age: "" + age
c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
4734,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age):
       self.name = name
       self.age = age
       self.make_sound = ""Meow""
   def __str__(self):
       return ""name: "" + self.name + "" age: "" + str(self.age)
   def __make_sound__():
       return self.make_sound
        
    
c = Cat(""Fluffy"", 3)
print(c)
print(c,make_sound())

"
4735,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age):
       self.name = name
       self.age = age
       self.make_sound = ""Meow""
   def __str__(self):
       return ""name: "" + self.name + "" age: "" + str(self.age)
   def make_sound():
       return self.make_sound
        
    
c = Cat(""Fluffy"", 3)
print(c)
print(c,make_sound())

"
4736,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age,make_sound()):
       self.name = name
       self.age = age
       #self.make_sound = ""Meow""
   def __str__(self):
       return ""name: "" + self.name + "" age: "" + str(self.age)
   def make_sound():
       return str(""Meow"")
        
    
c = Cat(""Fluffy"", 3)
print(c)
print(c,make_sound())

"
4739,Classes_Basic_Cat_ac,"class Cat:
   def __init__(self,name,age):
       self.name = name
       self.age = age
   def __str__(self):
       return ""name: "" + self.name + "" age: "" + str(self.age)
   def __make_sound__(self):
       return ""Meow""
    
c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
6047,Classes_Basic_Cat_ac,"class Cat:
    def __init__(self, name, age):
        self.name = name
        self.age = age
        
    def __str__(self):
        return ""name: "" + self.name + "", "" + ""age: "" + str(self.age)
    
    def make_sound(self):
        print(""Meow"")
        
c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
6052,Classes_Basic_Cat_ac,"class Cat:
    def __init__(self, name, age):
        self.name = name
        self.age = age
        
    def __str__(self):
        return ""name: "" + self.name + "", "" + ""age: "" + self.age
    
    def make_sound(self):
        print(""Meow"")
        
c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
6053,Classes_Basic_Cat_ac,"class Cat:
    def __init__(self, name, age):
        self.name = name
        self.age = age
        
    def __str__(self):
        return ""name: "" + self.name + "", "" + ""age: "" + str(self.age)
    
    def make_sound(self):
        return ""Meow""
        
c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
8388,Classes_Basic_Cat_ac,"
class Cat:
    def __init__(self,name,age):
        self.name=name
        self.age=age
    def __str__(self):
        return (""name: "" + self.name + "" ,"" + ""age: "" + str(self.age))
    def make_sound(self):
        return ""Meow""

c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
8390,Classes_Basic_Cat_ac,"
class Cat:
    def __init__(self,name,age):
        self.name=name
        self.age=age
    def __str__(self):
        return (""name: "" + self.name + "", "" + ""age: "" + str(self.age))
    def make_sound(self):
        return ""Meow""

c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
8394,Classes_Basic_Cat_ac,"
class Cat:
    def __init__(self,name,age):
        self.name=name
        self.age=age
    
    def __str__(self):
        return ""name: "" + self.name + "" "" + ""age: "" + self.age
    
    def make_sound(self):
        return ""Meow""

c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
8395,Classes_Basic_Cat_ac,"
class Cat:
    def __init__(self,name,age):
        self.name=name
        self.age=int(age)
    def __str__(self):
        return (""name: "" + self.name + "" "" + ""age: "" + self.age)
    def make_sound(self):
        return ""Meow""

c = Cat(""Fluffy"", 3)
print(c)
print(c.make_sound())

"
