,acid,anon_code
2541,mult_class_point_and_line_practice_ac,"import math
class Point:

    def __init__(self, initX, initY):
        """""" Create a new point at the given coordinates. """"""
        self.x = initX
        self.y = initY

    def __str__(self):
        return f""x = {self.x}, y = {self.y}""

    def distance(self, other):
        mx = (self.x - other.x) ** 2
        my = (self.y - other.y) ** 2
        return math.sqrt(mx + my)

class Line:
    
    def __init__(self, point_a, point_b):
        self.point_a = point_a
        self.point_b = point_b
        
    def length(self):
        l = self.point_a.distance(self.point_b)
        return l
        
point1 = Point(0,0)
point2 = Point(85,60)
line1 = Line(point1, point2)
print(line1.length())"
2542,mult_class_point_and_line_practice_ac,"import math
class Point:

    def __init__(self, initX, initY):
        """""" Create a new point at the given coordinates. """"""
        self.x = initX
        self.y = initY

    def __str__(self):
        return f""x = {self.x}, y = {self.y}""

    def distance(self, other):
        mx = (self.x - other.x) ** 2
        my = (self.y - other.y) ** 2
        return math.sqrt(mx + my)

class Line:
    
    def __init__(self, point_a, point_b):
        self.point_a = point_a
        self.point_b = point_b
        
    def length(self):
        l = point_a.distance(point_b)
        return l
        

"
2543,mult_class_point_and_line_practice_ac,"import math
class Point:

    def __init__(self, initX, initY):
        """""" Create a new point at the given coordinates. """"""
        self.x = initX
        self.y = initY

    def __str__(self):
        return f""x = {self.x}, y = {self.y}""

    def distance(self, other):
        mx = (self.x - other.x) ** 2
        my = (self.y - other.y) ** 2
        return math.sqrt(mx + my)

class Line:
    
    def __init__(self, point_a, point_b):
        self.point_a = point_a
        self.point_b = point_b
        
    def length(self):
        l = self.point_a.distance(self.point_b)
        return l
        
point1 = Point(10,10)
point2 = Point(100,100)
line1 = Line(point1, point2)
print(line1.length())"
2544,mult_class_point_and_line_practice_ac,"import math
class Point:

    def __init__(self, initX, initY):
        """""" Create a new point at the given coordinates. """"""
        self.x = initX
        self.y = initY

    def __str__(self):
        return f""x = {self.x}, y = {self.y}""

    def distance(self, other):
        mx = (self.x - other.x) ** 2
        my = (self.y - other.y) ** 2
        return math.sqrt(mx + my)

class Line:
    
    def __init__(self, point_a, point_b):
        self.point_a = point_a
        self.point_b = point_b
        
    def length(self):
        l = self.point_a.distance(self.point_b)
        return l
        
point1 = Point(10,10)
point2 = Point(100,100)
line1 = Line(point1, point2)
print(line.length()
"
2545,mult_class_point_and_line_practice_ac,"import math
class Point:

    def __init__(self, initX, initY):
        """""" Create a new point at the given coordinates. """"""
        self.x = initX
        self.y = initY

    def __str__(self):
        return f""x = {self.x}, y = {self.y}""

    def distance(self, other):
        mx = (self.x - other.x) ** 2
        my = (self.y - other.y) ** 2
        return math.sqrt(mx + my)

class Line:
    
    def __init__(self, point_a, point_b):
        self.point_a = point_a
        self.point_b = point_b
        
    def length(self):
        l = self.point_a.distance(self.point_b)
        return l
        
point1 = Point(10,10)
point2 = Point(100,100)
line1 = Line(point1, point2)
print(line.length()"
2546,mult_class_point_and_line_practice_ac,"import math
class Point:

    def __init__(self, initX, initY):
        """""" Create a new point at the given coordinates. """"""
        self.x = initX
        self.y = initY

    def __str__(self):
        return f""x = {self.x}, y = {self.y}""

    def distance(self, other):
        mx = (self.x - other.x) ** 2
        my = (self.y - other.y) ** 2
        return math.sqrt(mx + my)

class Line:
    
    def __init__(self, point_a, point_b):
        self.point_a = point_a
        self.point_b = point_b
        
    def length(self):
        l = self.point_a.distance(self.point_b)
        return l
        
point1 = Point(10,10)
point2 = Point(100,100)
line1 = Line(point1, point2)
print(line.length())"
2547,mult_class_point_and_line_practice_ac,"import math
class Point:

    def __init__(self, initX, initY):
        """""" Create a new point at the given coordinates. """"""
        self.x = initX
        self.y = initY

    def __str__(self):
        return f""x = {self.x}, y = {self.y}""

    def distance(self, other):
        mx = (self.x - other.x) ** 2
        my = (self.y - other.y) ** 2
        return math.sqrt(mx + my)

class Line:

"
2877,mult_class_point_and_line_practice_ac,"import math
class Point:

    def __init__(self, initX, initY):
        """""" Create a new point at the given coordinates. """"""
        self.x = initX
        self.y = initY

    def __str__(self):
        return f""x = {self.x}, y = {self.y}""

    def distance(self, other):
        mx = (self.x - other.x) ** 2
        my = (self.y - other.y) ** 2
        return math.sqrt(mx + my)

class Line:
    
    def __init__(self, point_a, point_b):
        self.point_a = point_a
        self.point_b = point_b
        
    def length(self):
        l = self.point_a.distance(self.point_b)
        return l
        

"
4052,mult_class_point_and_line_practice_ac,"import math
class Point:

    def __init__(self, initX, initY):
        """""" Create a new point at the given coordinates. """"""
        self.x = initX
        self.y = initY

    def __str__(self):
        return f""x = {self.x}, y = {self.y}""

    def distance(self, other):
        mx = (self.x - other.x) ** 2
        my = (self.y - other.y) ** 2
        return math.sqrt(mx + my)

class Line:
    
    def __init__(self, p1, p2):
        self.p1 = p1
        self.p2 = p2
        
    def length(self):
        line_len =self.p1.distance(self.p2)
        return line_len

"
4059,mult_class_point_and_line_practice_ac,"import math
class Point:

    def __init__(self, initX, initY):
        """""" Create a new point at the given coordinates. """"""
        self.x = initX
        self.y = initY

    def __str__(self):
        return f""x = {self.x}, y = {self.y}""

    def distance(self, other):
        mx = (self.x - other.x) ** 2
        my = (self.y - other.y) ** 2
        return math.sqrt(mx + my)

class Line:
    
    def __init__(self, p1, p2):
        self.p1 = p1
        self.p2 = p2
        
    def length(self):
        line_len =self.p1.distance(p2)
        return line_len

"
